央视,#genre#
CCTV6,http://119.125.134.172:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV7,http://221.13.234.108:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0,1.44
CCTV7,http://221.13.234.34:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0,1.26
CCTV7,http://125.42.150.152:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0,0.43
CCTV7,http://221.13.235.164:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV7,http://218.92.37.174:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0,1.33
CCTV7,http://175.0.78.209:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0,1.27
CCTV7,http://123.52.109.89:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0,0.40
CCTV7,http://123.159.125.38:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0,0.01
CCTV7,http://36.44.159.108:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV7,http://36.44.159.138:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV7,http://183.131.246.250:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV7,http://183.186.88.251:8899/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV7,http://183.186.88.244:8899/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV7,http://116.11.156.101:8811/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0,1.05
CCTV7,http://211.141.56.169:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0,1.00
CCTV7,http://119.125.134.172:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0,0.01
CCTV8,http://175.0.78.209:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0,1.45
